wavelength,UV1: template 365,B: template 470,LW: template 570
300,0.2009133464,0.02349318,1.22280887573591E-05
310,0.2952954946,0.029640577,6.56890729754632E-05
320,0.4208985729,0.0370876,0.0002489321
330,0.5749091182,0.046601711,0.0007191177
340,0.742400788,0.059217645,0.0016849122
350,0.8933388459,0.076313776,0.0033641035
360,0.9869405873,0.099703267,0.0059523642
370,0.9863426876,0.131702859,0.0096257787
380,0.8788602578,0.175117255,0.0145734176
390,0.6884521433,0.233042457,0.0210434859
400,0.4678087543,0.308361087,0.0293898871
410,0.2722652606,0.402809203,0.0401142629
420,0.1341116854,0.515588007,0.0539034845
430,0.0552912637,0.641722773,0.0716624061
440,0.0188831102,0.770726357,0.0945376351
450,0.0052914232,0.886467918,0.1239215237
460,0.00120599,0.969186575,0.1614175212
470,0.0002217695,1,0.2087398171
480,3.26642941512265E-05,0.966988445,0.2675146283
492,2.4244765977773E-06,0.84465045,0.3548103048
500,3.54838496764704E-07,0.724959661,0.4233787709
510,2.58757838299907E-08,0.55515024,0.5196458274
520,1.4773790110331E-09,0.388681879,0.6245206657
532,3.42423142040243E-11,0.223448665,0.7533931626
540,2.27377742364153E-12,0.142574255,0.8342992012
550,6.08651614673547E-14,0.073971683,0.9202533318
560,1.25783414122953E-15,0.034410714,0.9788072477
570,2.00201738242467E-17,0.014293673,1
580,2.44920314188127E-19,0.00528155,0.9775621954
589,3.71116213998893E-21,0.001944852,0.919467505
600,1.65397459765915E-23,0.000500596,0.8061754588
610,9.10857117228462E-26,0.000127608,0.6751610624
620,3.83718223641578E-28,2.85751E-05,0.5332267888
632,3.79843784945484E-31,3.9838E-06,0.3700362747
640,3.04316249409667E-33,9.61809E-07,0.2752492236
650,5.7274735021069E-36,1.43937E-07,0.1787671741
660,8.2413972386292E-39,1.87568E-08,0.1081142953
670,4.52237581696483E-42,1.69569E-09,0.0570698299
680,7.6384555772243E-45,2.08905E-10,0.0315730335
690,4.9262917013442E-48,1.78035E-11,0.0151659713
700,2.43510587155484E-51,1.31362E-12,0.0067125696
